"year","workauthorization","country","gender","degree","college","department","major","graddate","status","employer.school","jobtitle.gradprogram","city","state.country","graddegree","useful","dateoffered","dateaccepted","jobfunction","employerindustry","numoffers"
2012,NA,"United States",NA,"BS","Dietrich","Social & Decision Sciences","Policy and Management                                                                               ","S12","E","3D Game Design","no additional information",NA,NA,"","","","","","technology",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","SCS","Computer Science","","S12","E","Abercrombie & Fitch","IT Analyst","Columbus","OH","","","","","Technical/Computer Support ","consumer products/retail",NA
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","E","Abercrombie & Fitch","IT Analyst","Columbus","OH","","","","","Technical/Computer Support ","consumer products/retail",NA
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","E","Accenture","Systems Integration Analyst","Pittsburgh","PA","","TartanTRAK","","","Consulting","consulting",NA
2012,NA,"United States",NA,"BS","SHS","SHS","Decision Science                                                                                    ","S12","E","Accenture","Systems Integration Analyst","New York","NY","","TartanTRAK","40835","40880","Consulting","consulting",1
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Accenture","Analyst","Boston","MA","","Hired from Summer Internship","40787","40787","Consulting","consulting",3
2012,NA,"United States",NA,"BS","Dietrich","H&SS Interdisciplinary","Information Systems                                                                                 ","F11","E","Accenture","Systems Integration Analyst","New York","NY","","","","","Consulting","consulting",NA
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Accenture","Systems Integration Consulting Analyst","Pittsburgh","PA","","TartanTRAK","40848","40848","Consulting","consulting",3
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Accenture","Corporate Development and Transaction Services Analyst","Chicago","IL","","Networking","40909","40940","Corporate","consulting",3
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Accenture","Systems Integration Analyst","Pittsburgh","PA","","TartanTRAK","40848","40848","Consulting","consulting",2
2012,NA,"Korea",NA,"BS","Tepper","Business Administration","","S12","E","Accenture","Systems Integration Analyst","Pittsburgh","PA","","TartanTRAK","40848","40848","Consulting","consulting",1
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","E","Accenture","Consulting","Pittsburgh","PA","","TartanTRAK","","","Consulting","consulting",NA
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Accenture","",NA,NA,"","","","","Consulting","consulting",NA
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","E","Accenture","Analyst","Pittsburgh","PA","","Networking","","","Consulting","consulting",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","Dietrich","Social & Decision Sciences","Decision Science                                                                                    ","S12","E","Accenture","Systems Integration Analyst","Pittsburgh","PA","","Networking","","","Consulting","consulting",NA
2012,NA,"United States",NA,"BS","Tepper","Business Administration","","S12","E","Acumen","Quantitative Research Analyst","San Francisco","CA","","","41000","41030","Research ","consulting",NA
2012,NA,"United States",NA,"BS","BHA","BHA","Psychology","S12","E","Adconion Media Group","Interactive Designer","Santa Monica","CA","","","","","Designer","design",NA
2012,NA,"United States",NA,"BS","BXA","BXA","Design","S12","E","Adconion Media Group","Interaction Designer","Santa Monica","CA","","","","","Designer","design",NA
2012,NA,"United States",NA,"BS","MCS","Mathematical Sciences","","F11","E","Addepar","Software Engineer","Mountain View","CA","","TartanTrak","41101","41224","Software Development","financial services",2
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","Dietrich","Psychology","Psychology","S12","E","Advantage Sales & Marketing","ACE Rotation program ","Pittsburgh","PA","","","","","Business Development/Sales ","other",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","MCS","Mathematical Sciences","","S12","E","Agilex Technologies Inc.","Quantitative Analyst","Alexandria","VA","","TartanTrak","41011","41011","Financial Analysis","consulting",1
2012,NA,"United States",NA,"BS","Dietrich","Statistics","Economics and Statistics                                                                            ","S12","E","Agilex Technologies Inc.","Quantitative Analyst","Alexandria","VA","","Career Center","40984","40990","Financial Analysis","consulting",1
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"United States",NA,"BS","CIT","Chemical Engineering","","S12","E","AK Steel","Shift Manager Melt","Butler","PA","","TartanTRAK","","","Management","manufacturing",NA
2012,NA,"United States",NA,"BS","CFA","Design","Industrial design","S12","E","AKQA","Associate User Experience Designer",NA,"WA","","hired from summer internship","","","Design","arts, media, film & entertainment",NA
2012,NA,"United States",NA,"BS","BXA","BXA","Art                                                                                                 ","F11","E","Aldamisa International, LLC","Story/Game Design Consultant","Encino","CA","","","","","Consulting","arts, media, film & entertainment",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
2012,NA,"China",NA,"BS","SCS","Computer Science","","S12","E","Amazon","Software Development Engineer","Seattle","WA","","","","","Software Development","technology",NA
2012,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","","","","",NA
