year,workauthorization,country,gender,degree,college,department,major,graddate,status,employer.school,jobtitle.gradprogram,city,state.country,graddegree,useful,dateoffered,dateaccepted,jobfunction,employerindustry,numoffers
2013,U.S. Citizen,United States,Female,BS,Dietrich,Social & Decision Sciences,DECSCI,S13,E,Teach for America,2013 Houston Corps Member,Houston,TX,NA,NETWORKING,NA,NA,NA,non-profit,2
2013,U.S. Citizen,United States,Female,BS,Dietrich,Psychology,PSY,S13,E,Teach for America,Teacher,Chicago,IL,NA,Networking,NA,NA,NA,non-profit,2
2013,U.S. Citizen,United States,Female,BS,Dietrich,Philosophy,EHPP,S13,E,Teach for America,Elementary School Teacher,NA,OK,NA,Networking,NA,NA,NA,non-profit,1
2013,U.S. Citizen,Hong Kong,Female,BS,SCS,Computer Science,CS,S13,E,Salesforce.com,Software Development Engineer,San Francisco,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Google,Software Engineer,Mountain View,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,F12,E,Google,Software Engineer,Mountain View,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Google,Software Engineer,Mountain View,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,Philippines,Male,BS,SCS,Computer Science,CS,S13,E,Apple,Firmware Engineer,Cupertino,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Google,Software Engineer,Los Angeles,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Dropbox,Software Engineer,San Francisco,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,SCS,Computer Science,CS,S13,E,Google,Software Engineer,New York,NY,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Google,Software Engineer,Mountain View,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Palantir,Simulation Software Engineer,Palo Alto,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,SCS,Computer Science,CS,S13,E,Facebook,Software Engineer,Menlo Park,CA,NA,NA,NA,NA,NA,NA,NA
2013,Permanent Resident,United States,Male,BS,SCS,Computer Science,CS,S13,E,Google,Interaction Designer,Mountain View,CA,NA,NA,NA,NA,NA,NA,NA
2013,Non-US Citizen,Korea,Male,BS,SCS,Computer Science,CS,S13,E,Microsoft,Software Engineer,Sunnyvale,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Google,Software Developer,San Bruno,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Microsoft,Software Testing,Seattle,WA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Salesforce.com,Software Engineer,San Francisco,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Microsoft,Software Development Engineer,Seattle,WA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Dropbox,Software Engineer,San Francisco,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Microsoft,Software Development Engineer,Bellevue,WA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Salesforce.com,Product Security Engineer,San Francisco,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Palantir,Forward Deployed Engineer,Palo Alto,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Microsoft,Software Developer,Redmond,WA,NA,Hired from summer internship,NA,NA,Computer Science: Software Development,technology,4
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Google,Software Engineer,Mountain View,CA,NA,NA,NA,NA,NA,NA,NA
2013,Non-US Citizen,India,Male,BS,SCS,Computer Science,CS,S13,E,Dropbox,Software Engineer,San Francisco,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Palantir,Platform Developer,Palo Alto,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,F12,E,Facebook,Software Engineer,New York,NY,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,SCS,Computer Science,CS,S13,E,Salesforce.com,Software Development Engineer,San Francisco,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Amazon,Software Development Engineer,Seattle,WA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,SCS,Computer Science,CS,F12,E,Google,Software Engineer,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Microsoft,Software Development Engineer,Redmond,WA,NA,NA,NA,NA,NA,NA,NA
2013,Permanent Resident,United States,Female,BS,SCS,Computer Science,CS,F12,E,Google,Software Engineer,Kirkland,WA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Palantir,Software Engineer,Palo Alto,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,SCS,Computer Science,CS,S13,E,Facebook,Software Engineer,Menlo Park,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Salesforce.com,Software Development Engineer,San Francisco,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Dropbox,Software Engineer,San Francisco,CA,NA,NA,NA,NA,NA,NA,NA
2013,Non-US Citizen,Canada,Male,BS,SCS,Computer Science,CS,S13,E,Facebook,Software Engineer,Menlo Park,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,Dietrich,English,CW,S13,E,Microsoft,Game Designer,Seattle,WA,NA,Networking,NA,NA,NA,technology,2
2013,U.S. Citizen,United States,Female,BS,Dietrich,H&SS Interdisciplinary,INFOSYS,S13,E,Deloitte,Technology Consulting,Harrisburg,PA,NA,networking,NA,NA,NA,NA,4
2013,NA,NA,Male,BS,Dietrich,H&SS Interdisciplinary,INFOSYS,F12,E,Google,Interaction Designer,New York,NY,NA,neworking,NA,NA,NA,technology,5
2013,Permanent Resident,United States,Female,BS,Dietrich,H&SS Interdisciplinary,INFOSYS,S13,E,Ernst & Young,Technology Consultant,San Francisco,CA,NA,Job  fair,NA,NA,NA,consulting,3
